run_name,architecture,dataset,n_layers,accuracy,rho,k
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9854999780654907,-811746751.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-799654219.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9760000109672546,-819025325.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-801779578.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-813238609.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.987500011920929,-802938946.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-800146823.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9860000014305115,-818351759.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9829999804496765,-794692440.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9865000247955322,-815494611.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984000027179718,-786498921.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9794999957084656,-780745450.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-793775373.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984499990940094,-808760623.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9819999933242798,-811686883.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-794409366.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-802634717.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9819999933242798,-801714190.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9829999804496765,-801353606.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-800063622.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-789355447.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-805158402.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.987500011920929,-792745409.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-813403283.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984499990940094,-823574532.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9865000247955322,-813006252.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984499990940094,-807302605.0,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9779999852180481,-736875792.8333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9854999780654907,-735984557.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9869999885559082,-742626217.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9869999885559082,-721021567.0,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9850000143051147,-716153341.5,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9865000247955322,-733607875.5,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9835000038146973,-713110335.5,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9819999933242798,-740729321.3333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9860000014305115,-722877795.0,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9860000014305115,-733254770.8333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.984000027179718,-754452301.1666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9865000247955322,-728863630.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9879999756813049,-742626357.5,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9884999990463257,-748992837.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9745000004768372,-752431015.8333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9829999804496765,-743804395.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9865000247955322,-747714906.3333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9819999933242798,-741651185.3333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9860000014305115,-723068573.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9865000247955322,-734467839.1666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.987500011920929,-724051411.1666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9860000014305115,-754366859.8333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.984499990940094,-769535440.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9890000224113464,-734841476.8333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.987500011920929,-740953411.0,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9879999756813049,-731891729.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.984499990940094,-731065822.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.987500011920929,-756916164.5,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9890000224113464,-728350357.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9825000166893005,-736981446.0,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9865000247955322,-730821059.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.987500011920929,-732808571.3333334,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.9865000247955322,-744278359.6666666,500
wide_11_fmnist_shirts_vs_coats,wide,fmnist_shirts_vs_coats,11,0.984499990940094,-726436599.8333334,500
