architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
narrow_11,mnist_6_vs_8,325,25,0.9870600700378418,-315358608.0,,narrow_11_mnist_6_vs_8_k325_m25
narrow_11,mnist_6_vs_8,325,26,0.9875776171684265,-302610476.1666667,,narrow_11_mnist_6_vs_8_k325_m26
narrow_11,mnist_6_vs_8,325,27,0.9875776171684265,-314184460.5,,narrow_11_mnist_6_vs_8_k325_m27
narrow_11,mnist_6_vs_8,325,28,0.988095223903656,-321167004.6666667,,narrow_11_mnist_6_vs_8_k325_m28
narrow_11,mnist_6_vs_8,325,29,0.9865424633026123,-312504618.0,,narrow_11_mnist_6_vs_8_k325_m29
narrow_11,mnist_6_vs_8,325,30,0.9870600700378418,-314396416.3333333,,narrow_11_mnist_6_vs_8_k325_m30
narrow_11,mnist_6_vs_8,325,31,0.9834368824958801,-309986757.6666667,,narrow_11_mnist_6_vs_8_k325_m31
narrow_11,mnist_6_vs_8,325,32,0.9886128306388855,-314488521.3333333,,narrow_11_mnist_6_vs_8_k325_m32
narrow_11,mnist_6_vs_8,325,33,0.9855072498321533,-316471698.1666667,,narrow_11_mnist_6_vs_8_k325_m33
narrow_11,mnist_6_vs_8,325,34,0.9896480441093445,-316974313.8333333,,narrow_11_mnist_6_vs_8_k325_m34
narrow_11,mnist_6_vs_8,325,35,0.990165650844574,-317249484.0,,narrow_11_mnist_6_vs_8_k325_m35
narrow_11,mnist_6_vs_8,325,36,0.9875776171684265,-315229577.3333333,,narrow_11_mnist_6_vs_8_k325_m36
narrow_11,mnist_6_vs_8,325,37,0.9860248565673828,-307866087.1666667,,narrow_11_mnist_6_vs_8_k325_m37
narrow_11,mnist_6_vs_8,325,38,0.988095223903656,-307584640.3333333,,narrow_11_mnist_6_vs_8_k325_m38
narrow_11,mnist_6_vs_8,325,39,0.9896480441093445,-323552276.8333333,,narrow_11_mnist_6_vs_8_k325_m39
narrow_11,mnist_6_vs_8,325,40,0.989130437374115,-310806691.1666667,,narrow_11_mnist_6_vs_8_k325_m40
narrow_11,mnist_6_vs_8,325,41,0.9870600700378418,-311878415.5,,narrow_11_mnist_6_vs_8_k325_m41
narrow_11,mnist_6_vs_8,325,42,0.989130437374115,-312994443.0,,narrow_11_mnist_6_vs_8_k325_m42
