dataset,mode,width,depth,test_acc,best_k,rho,z,L,connected_all_layers,elapsed_s,run_id,error,session
cifar10_cat_v_dog,real,narrow,11,0.625,350,0.7026430724423439,0.35619742494836804,10,True,92.5,cifar10_cat_v_dog__w25__d11__s0,,20251007_220339
cifar10_cat_v_dog,real,wide,5,0.6134999990463257,30,-0.9968752142343982,-3.2299865595098898,4,True,45.5,cifar10_cat_v_dog__w50__d5__s0,,20251007_220339
cifar10_cat_v_dog,real,wide,11,0.6309999823570251,350,0.35290077162751615,0.1505429117451165,10,True,95.7,cifar10_cat_v_dog__w50__d11__s0,,20251007_220339
cifar10_cat_v_dog,real,bottleneck,5,0.6259999871253967,350,-0.9859778522257721,-2.476614314560902,4,True,46.5,cifar10_cat_v_dog__bottleneck__d5__s0,,20251007_220339
cifar10_cat_v_dog,real,bottleneck,11,0.6134999990463257,350,0.6716655006137819,0.3322207849728597,10,True,102.0,cifar10_cat_v_dog__bottleneck__d11__s0,,20251007_220339
cifar10_car_v_truck,real,narrow,5,0.7275000214576721,250,-0.8419843136080608,-1.2279521958809383,4,True,45.9,cifar10_car_v_truck__w25__d5__s0,,20251007_220339
cifar10_car_v_truck,real,narrow,11,0.7335000038146973,10,0.8102255159060808,0.4603755284507917,10,True,96.5,cifar10_car_v_truck__w25__d11__s0,,20251007_220339
cifar10_car_v_truck,real,wide,5,0.7350000143051147,350,-0.9999950693257353,-6.456589763401073,4,True,47.1,cifar10_car_v_truck__w50__d5__s0,,20251007_220339
cifar10_car_v_truck,real,wide,11,0.7599999904632568,350,0.07860973094909779,0.03215863911269599,10,True,91.7,cifar10_car_v_truck__w50__d11__s0,,20251007_220339
cifar10_car_v_truck,real,bottleneck,5,0.7465000152587891,350,-0.7890141368362771,-1.068814426779257,4,True,44.8,cifar10_car_v_truck__bottleneck__d5__s0,,20251007_220339
cifar10_car_v_truck,real,bottleneck,11,0.7544999718666077,350,0.14304656533038515,0.0588018017912584,10,True,91.8,cifar10_car_v_truck__bottleneck__d11__s0,,20251007_220339
svhn_1v7,real,narrow,5,0.9360775351524353,10,-0.8853843036967841,-1.4001510964222015,4,True,49.3,svhn_1v7__w25__d5__s0,,20251007_220339
svhn_1v7,real,narrow,11,0.9414161443710327,350,-0.3002335482328547,-0.12646563280899367,10,True,100.0,svhn_1v7__w25__d11__s0,,20251007_220339
svhn_1v7,real,wide,5,0.93958979845047,30,-0.13770672844397314,-0.13858721928996037,4,True,53.0,svhn_1v7__w50__d5__s0,,20251007_220339
svhn_1v7,real,wide,11,0.9388872981071472,350,-0.09836890734847856,-0.04028922741985815,10,True,101.6,svhn_1v7__w50__d11__s0,,20251007_220339
svhn_1v7,real,bottleneck,5,0.9356560707092285,350,-0.7523202451241854,-0.978279721192794,4,True,53.1,svhn_1v7__bottleneck__d5__s0,,20251007_220339
svhn_1v7,real,bottleneck,11,0.9412756562232971,350,-0.19192912233360948,-0.07933868907084796,10,True,101.8,svhn_1v7__bottleneck__d11__s0,,20251007_220339
svhn_3v8,real,narrow,5,0.8958608508110046,120,-0.567796885680335,-0.6442655027709445,4,True,45.4,svhn_3v8__w25__d5__s0,,20251007_220339
svhn_3v8,real,narrow,11,0.8914574980735779,350,0.008665129102522068,0.0035376126844416517,10,True,92.9,svhn_3v8__w25__d11__s0,,20251007_220339
svhn_3v8,real,wide,5,0.905107855796814,250,-0.4301844722081779,-0.4601230217418763,4,True,50.0,svhn_3v8__w50__d5__s0,,20251007_220339
svhn_3v8,real,wide,11,0.9117128849029541,350,-0.12750471422952314,-0.052338451778532066,10,True,96.7,svhn_3v8__w50__d11__s0,,20251007_220339
svhn_3v8,real,bottleneck,5,0.8978423476219177,50,-0.9546056704531519,-1.8812782757920696,4,True,48.1,svhn_3v8__bottleneck__d5__s0,,20251007_220339
svhn_3v8,real,bottleneck,11,0.8976221680641174,350,-0.035526812773504696,-0.014509867200781925,10,True,96.1,svhn_3v8__bottleneck__d11__s0,,20251007_220339
