run_name,architecture,depth,dataset,dataset_type,model_id,k,accuracy,rho,n_layers
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,46,325,0.988095223903656,-325087355.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,47,325,0.989130437374115,-333073126.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,48,325,0.9849896430969238,-309222923.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,49,325,0.9875776171684265,-314427488.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,50,325,0.990165650844574,-318275565.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,51,325,0.9886128306388855,-315636708.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,52,325,0.9896480441093445,-314560582.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,53,325,0.9860248565673828,-315546807.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,54,325,0.989130437374115,-314622231.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,55,325,0.9865424633026123,-322089600.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,56,325,0.9875776171684265,-307749105.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,57,325,0.9912008047103882,-323752186.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,58,325,0.9875776171684265,-312723456.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,59,325,0.9875776171684265,-325605668.1818182,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,60,325,0.990165650844574,-314265558.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,61,325,0.988095223903656,-314100140.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,62,325,0.9886128306388855,-318408763.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,63,325,0.9860248565673828,-308753856.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,64,325,0.9865424633026123,-319802450.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,65,325,0.9896480441093445,-315810637.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,66,325,0.9922360181808472,-324206620.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,67,325,0.989130437374115,-321693208.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,68,325,0.9886128306388855,-310378279.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,69,325,0.9886128306388855,-315484285.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,0,500,0.9886128306388855,-729903748.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,1,500,0.9917184114456177,-714893342.9090909,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,2,500,0.9875776171684265,-744799985.8181819,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,3,500,0.9870600700378418,-745847287.8181819,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,4,500,0.9875776171684265,-732778443.8181819,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,5,500,0.9829192757606506,-733691556.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,6,500,0.989130437374115,-725444336.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,7,500,0.9870600700378418,-718988324.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,8,500,0.9896480441093445,-729496964.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,9,500,0.9912008047103882,-733640044.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,10,500,0.989130437374115,-725513340.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,11,500,0.990165650844574,-723965512.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,12,500,0.9912008047103882,-744730656.1818181,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,13,500,0.9870600700378418,-731890802.9090909,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,14,500,0.9886128306388855,-718199385.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,15,500,0.9896480441093445,-750334993.4545455,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,16,500,0.9912008047103882,-723124381.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,17,500,0.9875776171684265,-733118120.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,18,500,0.989130437374115,-742524044.9090909,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,19,500,0.990165650844574,-721531692.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,20,500,0.989130437374115,-722331497.0909091,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,21,500,0.9855072498321533,-728639300.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,22,500,0.990165650844574,-742691044.9090909,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,23,500,0.990165650844574,-730107133.0909091,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,24,500,0.988095223903656,-725258766.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,25,500,0.9870600700378418,-733623786.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,26,500,0.9875776171684265,-716011515.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,27,500,0.9875776171684265,-733265166.9090909,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,28,500,0.988095223903656,-743746694.1818181,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,29,500,0.9865424633026123,-734927945.4545455,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,30,500,0.9870600700378418,-733816750.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,31,500,0.9834368824958801,-722740654.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,32,500,0.9886128306388855,-752750242.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,33,500,0.9855072498321533,-742838176.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,34,500,0.9896480441093445,-739408725.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,35,500,0.990165650844574,-736200065.8181819,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,36,500,0.9875776171684265,-738112344.1818181,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,37,500,0.9860248565673828,-722505865.2727273,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,38,500,0.988095223903656,-722067854.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,39,500,0.9896480441093445,-753415760.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,40,500,0.989130437374115,-723788120.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,41,500,0.9870600700378418,-725271464.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,42,500,0.989130437374115,-731067258.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,43,500,0.989130437374115,-729964667.0909091,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,44,500,0.989130437374115,-713073154.1818181,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,45,500,0.988095223903656,-731839700.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,46,500,0.988095223903656,-741600437.4545455,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,47,500,0.989130437374115,-748341220.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,48,500,0.9849896430969238,-713073486.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,49,500,0.9875776171684265,-726999655.2727273,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,50,500,0.990165650844574,-737306685.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,51,500,0.9886128306388855,-730069358.7272727,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,52,500,0.9896480441093445,-733016271.0909091,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,53,500,0.9860248565673828,-723746334.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,54,500,0.989130437374115,-728643722.1818181,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,55,500,0.9865424633026123,-747255816.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,56,500,0.9875776171684265,-716240882.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,57,500,0.9912008047103882,-743774023.8181819,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,58,500,0.9875776171684265,-726027714.5454545,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,59,500,0.9875776171684265,-742357456.9090909,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,60,500,0.990165650844574,-730229327.4545455,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,61,500,0.988095223903656,-731969831.4545455,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,62,500,0.9886128306388855,-742376014.0,11
