experiment,architecture,depth,width,is_bottleneck,dataset,dataset_type,k_value,model_id,accuracy,mean_forman_ricci,final_forman_ricci,mean_scalar_curvature,final_scalar_curvature,delta_forman,delta_scalar
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,38,0.988095223903656,-309728908.54545456,-282767144.0,337653.9090909091,32658.0,75274436.0,-545679.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,39,0.9896480441093445,-326597657.8181818,-291502204.0,318849.9090909091,116642.0,66539376.0,-345524.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,40,0.989130437374115,-312991773.8181818,-288433254.0,312800.36363636365,99196.0,69608326.0,-431310.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,41,0.9870600700378418,-314395714.3636364,-283801676.0,333657.8181818182,76831.0,74239904.0,-493998.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,42,0.989130437374115,-315141523.45454544,-288655930.0,322326.8181818182,-35368.0,69385650.0,-529481.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,43,0.989130437374115,-313993231.6363636,-288385780.0,337327.54545454547,76639.0,69655800.0,-564476.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,44,0.989130437374115,-307348921.27272725,-280924048.0,339981.2727272727,142061.0,77117532.0,-585298.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,45,0.988095223903656,-315085935.09090906,-286445416.0,340178.2727272727,23237.0,71596164.0,-556807.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,46,0.988095223903656,-325087355.45454544,-299757748.0,273320.63636363635,-103192.0,58283832.0,-692067.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,47,0.989130437374115,-333073126.72727275,-299561680.0,297694.36363636365,145576.0,58479900.0,-437613.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,48,0.9849896430969238,-309222923.45454544,-284029736.0,332922.8181818182,149954.0,74011844.0,-375047.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,49,0.9875776171684265,-314427488.0,-284279268.0,346139.9090909091,198385.0,73762312.0,-349619.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,50,0.990165650844574,-318275565.8181818,-290668982.0,331337.8181818182,149791.0,67372598.0,-430832.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,51,0.9886128306388855,-315636708.90909094,-297742990.0,290648.7272727273,539101.0,60298590.0,17873.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,52,0.9896480441093445,-314560582.54545456,-283343066.0,343382.0,34880.0,74698514.0,-463352.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,53,0.9860248565673828,-315546807.27272725,-286412918.0,335092.0,139854.0,71628662.0,-444934.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,54,0.989130437374115,-314622231.45454544,-287051940.0,337924.9090909091,174377.0,70989640.0,-539333.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,55,0.9865424633026123,-322089600.72727275,-290268416.0,270810.54545454547,-373123.0,67773164.0,-930306.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,56,0.9875776171684265,-307749105.09090906,-286527588.0,330775.36363636365,123973.0,71513992.0,-620124.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,57,0.9912008047103882,-323752186.54545456,-286075942.0,308530.8181818182,-35508.0,71965638.0,-561911.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,58,0.9875776171684265,-312723456.90909094,-286298848.0,340254.0,72574.0,71742732.0,-612683.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,59,0.9875776171684265,-325605668.1818182,-297770448.0,325444.7272727273,257315.0,60271132.0,-371461.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,60,0.990165650844574,-314265558.54545456,-286646826.0,322363.7272727273,17227.0,71394754.0,-387494.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,61,0.988095223903656,-314100140.3636364,-287669692.0,321793.0,-15542.0,70371888.0,-695639.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,62,0.9886128306388855,-318408763.27272725,-287208326.0,332479.63636363635,42012.0,70833254.0,-617227.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,63,0.9860248565673828,-308753856.0,-284078586.0,327525.36363636365,42297.0,73962994.0,-470641.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,64,0.9865424633026123,-319802450.0,-288283562.0,325996.0909090909,33271.0,69758018.0,-543055.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,65,0.9896480441093445,-315810637.8181818,-285189328.0,340287.9090909091,48806.0,72852252.0,-505383.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,66,0.9922360181808472,-324206620.3636364,-303319804.0,284193.1818181818,9389.0,54721776.0,-472612.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,67,0.989130437374115,-321693208.0,-287075304.0,330497.45454545453,133546.0,70966276.0,-472275.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,68,0.9886128306388855,-310378279.09090906,-283162820.0,341835.7272727273,150048.0,74878760.0,-553782.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,69,0.9886128306388855,-315484285.45454544,-285926864.0,337679.7272727273,229211.0,72114716.0,-353254.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,500,0,0.9886128306388855,-729903748.7272727,-702289468.0,150761.18181818182,11164.0,101811562.0,-374563.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,500,1,0.9917184114456177,-714893342.9090909,-698712186.0,148995.81818181818,-42299.0,105388844.0,-592400.0
